Id.-No.;Name;Vorname;Lebensdaten
P00829;Haussmann;Frederick;1885-1955
P00830;Haydn;Joseph;
P00831;Hayer;Paul;
P00832;Haym;Rudolf;
P00833;Hebbel;Friedrich;
P00834;Hebel;Konrad;
P00835;Heber;Margaret;
P00836;Heckel;Erich;
P00837;Heckel;Theodor;
P00838;Heering;Herman Johan;1912-2000
P00839;Hegel;Georg Wilhelm Friedrich;
P00840;Hegesias Peisithanatos;;
P00841;Heidegger;Martin;1989-1976
P00842;Heiden;Konrad;
P00843;Heilbronn;Dr.;
P00844;Heiler;Friedrich;
P00845;Heim;Karl;1874-1958
P00846;Heimann;Eduard;1889-1967
P00847;Heine;Heinrich;
P00848;Heinemann;Fritz;
P00849;Heinrich IV.;;
P00850;Heinrich von Gent;;
P00851;Heinrichs;Hans-Jürgen;
P00852;Heinze;Max;
P00853;Heinzelmann;Gerhard;1884-1951
P00854;Heisenberg;Werner;
P00855;Heitmüller;Wilhelm;
P00856;Heller;Hermann;
P00857;Hellstroem;Ivar;
P00858;Helmont;Johann Baptista van;
P00859;Helvétius;Claude Adrien;
P00860;Helwig O.S.B.;Gerhard;
P00861;Hemingway;Ernest;
P00862;Hempel;Carl Gustav;1905-1997
P00863;Hemphill;Genevieve;
P00864;Hendel;Charles W.;
P00865;Hendershot;Pauline S.;
P00866;Henderson;Ian;
P00867;Hendrixson;Claire;
P00868;Henel;Heinrich;
P00869;Henel;Ingeborg;
P00870;Henkel;Charles;
P00871;Henley;Clyde C.;
P00872;Henley;Lois B.;
P00873;Henne;Helene;
P00874;Hennig;Karl;
P00875;Henning;Hilde;
P00876;Henoch;;
P00877;Hensmann;Amos;1884-
P00878;Herakles;;
P00879;Heraklit;;
P00880;Herbart;J. F.;
P00881;Herbert von Cherbury;;
P00882;Herder;Johann Gottfried;
P00883;Hermann;Wilhelm;
P00884;Hermas aus Rom;;
P00885;Herodes;;
P00886;Herodot;;
P00887;Herophilus;;
P00888;Herrmann;Heinrich;
P00889;Herrmann;Friedrich-Wilhelm von;
P00890;Herrmann;Wilhelm;
P00891;Hertel;Karin;
P00892;Herzen;Alexander;
P00893;Hesiod;;
P00894;Hess;Rudolf;
P00895;Heusler;Andreas;
P00896;Heuss;Theodor;1884-1963
P00897;Heyse;Hans;
P00898;Hiketas;;
P00899;Hilarius von Poitiers;;
P00900;Hiltner;Seward;
P00901;Himmler;Heinrich;
P00902;Hinkmar von Reims;;
P00903;Hippokrates;;
P00904;Hirsch;Emanuel;1888-1972
P00905;Hirsch;Hans S.;
P00906;Hirsch;Maria;
P00907;Hirsch;Rose;
P00908;Hirschfeld;Kurt;1902-1964
P00909;Hisamatsu Shin’ichi;;
P00910;Hitler;Adolf;
P00911;Hobbes;Thomas;
P00912;Hodler;Ferdinand;
P00913;Hoffmann;Adolph;
P00914;Hoffmann;Daniel;
P00915;Hoffmann;Ernst Theodor Amadeus;
P00916;Hoffmeister;Johannes;
P00917;Hofmann;Johann Christian Konrad von;
P00918;Hofmannsthal;Hugo von;
P00919;Hohenlohe;;
P00920;Hohmann;Georg;1880-1970
P00921;Holbein der Jüngere;Hans;
P00922;Hölderlin;Friedrich;
P00923;Holl;Karl;
P00924;Holldack;Felix;
P00925;Holtzmann;Heinrich Julius;
P00926;Homer;;
P00927;Homrighausen;Elmer G.;
P00928;Hönigswald;Richard;
P00929;Hoppe;Klaus D.;
P00930;Horaz;;
P00931;Horkheimer;Max;1895-1973
P00932;Horkheimer;Rose Christine;1887–1969
P00933;Horn;Friedrich Otto;
P00934;Horn;Gertrud;
P00935;Horney;Karen;
P00936;Horus;;
P00937;Hosea;;
P00938;Hoskyns;Sir Edwin Clement;
P00939;Hossenfelder;Joachim;
P00940;Huessy;Margret;
P00941;Hugo von St. Viktor;;
P00942;Humboldt;Wilhelm von;
P00943;Hume;David;
P00944;Hunzinger;Walter;
P00945;Hus;Jan;
P00946;Husserl;Edmund;
P00947;Hutcheson;Francis;
P00948;Huxley;Aldous;
P00949;Iamblichos;;
P00950;Ibsen;Henrik;
P00951;Ide;Charles Alfred ;1887-1965
P00952;Ide;Henriette Rosalie ;1890-1981
P00953;Ideler;Karl Wilhelm;
P00954;Ignatius von Antiochien;;
P00955;Imhotep;;
P00956;Innozenz III.;;
P00957;Innozenz IV.;;
P00958;Irenäus;;
P00959;Isaak;;
P00960;Isaak von Stella;;
P00961;Isidor von Sevilla;;
P00962;Ismael;;
P00963;Jacker;John Arthur;
P00964;Jacobi;Friedrich Heinrich;
P00965;Jäger;Werner;
P00966;Jakob;;
P00967;Jakob von Viterbo;;
P00968;Jakobus;;
P00969;James;William;
P00970;Jannensch;Erika;
P00971;Jansen;Cornelius;
P00972;Jaspers;Karl;
P00973;Jastrow;Morris;
P00974;Jawlenski;Alexei;
P00975;Jefferson;Iriah;
P00976;Jefferson;Thomas;
P00977;Jellinek;Georg;
P00978;Jeremia;;
P00979;Jeremias;Alfred;
P00980;Jesaja;;
P00981;Jesus;;
P00982;Jesus Sirach;;
P00983;Joachim von Fiore;;
P00984;Joel;;
P00985;Johannes;;
P00986;Johannes der Täufer;;
P00987;Johannes Gerson;;
P00988;Johannes Olivi;;
P00989;Johannes Philoponos;;
P00990;Johannes Scottus Eriugena;;
P00991;Johannes von Damaskus;;
P00992;Johannes von Jandun;;
P00993;Johannes von Salisbury;;
P00994;Johannes XXIII.;;
P00995;Jolowicz;Martha;*1881
P00996;Jolowicz;Leo;1868-1940
P00997;Jona;;
P00998;Jonas;Hans;1903-1993
P00999;Jones;Rufus;
P01000;Jory;Nicholas;
P01001;Josephus;Flavius;
P01002;Josia;;
P01003;Joyce;James;
P01004;Judas;;
P01005;Julian Apostata;;
P01006;Jung;Carl Gustav;
P01007;Justin der Märtyrer;;
P01008;Kafka;Franz;
P01009;Kaftan;Julius;
P01010;Kagawa;Toyohiko;
P01011;Kagawa;Toyohiko;1888-1960
P01012;Kähler;Ernst;
P01013;Kähler;Martin;
P01014;Kahn-Freund;Sir Otto ;1900-1979
P01015;Kain;;
P01016;Kalthoff;Albert;
P01017;Kandeler;Marlen;
P01018;Kandinsky;Wassily;
P01019;Kanold;Alexander;
P01020;Kant;Immanuel;
P01021;Kantorowicz;Ernst;1895-1963
P01022;Kantorowicz;Hermann Ulrich ;1877-1940
P01023;Kantorowicz;Dorothea ;1884-1920
P01024;Kantorowicz;Hildegard Anna Maria ;1892-1974
P01025;Karl d. Kahle;;
P01026;Karl I. (Kaiser von Österreich);;
P01027;Karl I. der Große;;
P01028;Karneades;;
P01029;Karpatkin;Marvin M.;1926-1975
P01030;Kaskell;Joseph;1892-1989
P01031;Kassner;Rudolf;
P01032;Katte;Hans Hermann von;
P01033;Kattenbusch;Ferdinand;1851-1935
P01034;Kaulbach;Wilhelm;
P01035;Kautsky;Karl J.;
P01036;Kautzsch;Emil;
P01037;Keiser;Günter;
P01038;Keller;Adolf;1872-1963
P01039;Keller;Robert;
P01040;Kempner;Robert Max Wassilli;
P01041;Kendrick;John H.;
P01042;Kepler;Johannes;
P01043;Kerr;Philip Henry ;1882-1940
P01044;Kessa;Anna Petrowna;gestorben 1967
P01045;Keßler;Harry Graf;
P01046;Kesten;Hermann;1900-1996
P01047;Key;Ellen;
P01048;Keyserling;Hermann Graf;
P01049;Kierkegaard;Sören;
P01050;Kilger;Albert;
P01051;Kimball;Robert;1928-2017
P01052;Kindel;Eva;
P01053;King;Martin Luther;
P01054;Kingdon;Frank;
P01055;Kirbach;Hellmuth;1903-1994
P01056;Kirn;Paul;1890-1965
P01057;Kissinger;Henry;
P01058;Klages;Ludwig;
P01059;Klatt;Fritz;
P01060;Kleanthes;;
P01061;Klein;Ernst August Ferdinand;1863-1943
P01062;Klein;Lisa;
P01063;Klein;Elisabeth;
P01064;Klein;Jakob;
P01065;Klemperer;Victor;
P01066;Kleyer;Bertel;
P01067;Kleyer;Erwin;1888-1975
P01068;Klöpper;;
P01069;Klopstock;Friedrich Gottlieb;
P01070;Klutmann;Rudolf;1883-1968
P01071;Knittermeyer;Heinrich;
P01072;Knobler;John;
P01073;Knox;John;
P01074;Koch;Karl;
P01075;Koch;Jakob Emil Karl;
P01076;Koepp;Wilhelm;
P01077;Koffka;Kurt;
P01078;Köhler;Wolfgang;
P01079;Kohn;Hans;
P01080;Konfuzius;;
P01081;Konstantin I. der Große;;
P01082;Kopernikus;Nikolaus;
P01083;Korff;Hermann August;
P01084;Kotschnig;Walter ;1901-1985
P01085;Kotschnig;Elined;1895-1983
P01086;Kraber;Tony;1905–1986
P01087;Kracauer;Siegfried;1889-1966
P01088;Kracke;Virginia L.;
P01089;Kraemer;Hendrik;
P01090;Kraft;Julius;1898-1960
P01091;Kranold;Albert;
P01092;Krapotkin;Michael;
P01093;Kraus;Karl;
P01094;Krebs;Engelbert;
P01095;Kreon;;
P01096;Kretzler;Karin;
P01097;Kreyssig;Lothar;1898-1986
P01098;Kritias;;
P01099;Kroner;Richard;1884-1974
P01100;Kroner;Alice;
P01101;Kropotkin;Pjotr Alexejewitsch;
P01102;Krüger;Gerhard;
P01103;Krüsmann;Rudolf;
P01104;Kuhlmann;Gerhardt;
P01105;Kuhn;Helmut;1899-1991
P01106;Kullmann;Maria;
P01107;Kullmann;Maria;1902-1965
P01108;Kullmann ;Gustave;1894-1961
P01109;Külpe;Oswald;
P01110;Künneth;Walter;
P01111;Kurtz;Howard G.;
P01112;Kurtz;Johann Heinrich;1809-1890
P01113;Kutter;Hermann;
P01114;Kuyper;Abraham;
P01115;Kyrill von Alexandria;;
P01116;Kyros II.;;
P01117;L.;Sam L.;
P01118;Laban;Rudolf von;
P01119;Labusen;Friedrich;
P01120;Ladenburg;Rudolph;
P01121;Lafayette;Joseph;
P01122;Lahusen;Friedrich;1851-1927
P01123;Lambert;Johann Heinrich;
P01124;Lamprecht;Karl;
P01125;Landahl;Heinrich;
P01126;Landauer;Walter;1902-1944
P01127;Landauer;Gustav;
P01128;Landauer;Karl;1887-1945
P01129;Landauer;Karoline;1893-1975
P01130;Landé;Walter;1889-1938
P01131;Landé;Margarete;*1905
P01132;Lanfranc;;
P01133;Lang;Martin;1858-1934
P01134;Lang;Andrew;
P01135;Lange;Friedrich Albert;
P01136;Langenbach;Anne;
P01137;Langer;Frida;1888-1942
P01138;Langer;Otto Richard Emil;1878-1920
P01139;Laozi;;
P01140;Lappe;Joseph;
P01141;Lash;Trude;1908-2004
P01142;Lask;Emil;
P01143;Lasker-Schüler;Else;
P01144;Lasker-Schüler;Elsisabeth;1869-1945
P01145;Lassalle;Ferdinand;
P01146;Lasson;Adolf;
P01147;Lasson;Georg;
P01148;Laubmann;Georg von;
P01149;Laun;Margarete von;
P01150;Lavater;Johann Kaspar;
P01151;Lazarus;;
P01152;Le Seur ;Eduard;1873-1956
P01153;Leep;Hans Jürgen;1910-2001
P01154;Leese;Kurt;1887-1965
P01155;Lehmann;Helmut T.;
P01156;Lehmann;Paul Louis;1906-1994
P01157;Lehmann;Eduard;
P01158;Lehmann;Julius;1884-1951
P01159;Leibniz;Gottfried Wilhelm;
P01160;Leibrecht;Walter;
P01161;Lengston;Eugene;
P01162;Lenin;Wladimir Iljitsch;
P01163;Leo der Hebräer;;
P01164;Leo I. der Große;;
P01165;Leo X.;;
P01166;Leo XIII.;;
P01167;Leonardo da Vinci;;
P01168;Leontius von Byzanz;;
P01169;Lessing;Gotthold Ephraim;
P01170;Lessing;Theodor;
P01171;Lévy-Bruhl;Lucien;
P01172;Lewald;Hans;1883-1963
P01173;Lewis;Cotesworth P.;
P01174;Ley-Piscator;Maria;
P01175;Lichtenberg;Georg Christoph;
P01176;Lieb;Fritz;1892-1970
P01177;Liebermann;Max;1847-1935
P01178;Liebert;Arthur;
P01179;Liebknecht;Karl;
P01180;Lietzmann;Hans;
P01181;Liguori;Alfonso Maria di;
P01182;Lilje;Johannes;1899-1977
P01183;Lincoln;Abraham;
P01184;Lindemann;Eduard C.;1985-1953
P01185;Lindner;Kurt;
P01186;Lindt;Peter M.;1908-1976
P01187;Linné;Karl von;
P01188;Lippmann;Walter;
P01189;Lipps;Theodor;
P01190;Lipsius;Justus;
P01191;Lipsius;Richard Adelbert;
P01192;Lister;Hugh;1901-1944
P01193;Locke;John;
P01194;Loeb;Lotta;
P01195;Loechler;Leon P.;
P01196;Lohmeyer;Ernst;
P01197;Loisy;Alfred;
P01198;Long;Huey;
P01199;Longfellow;Henry;
P01200;Loof;Hans;
P01201;Loofs;Friedrich;1858-1928
P01202;Lord Lothian;;
P01203;Lothar;Anita;1904-2002
P01204;Lothar;Johannes Herbert ;1900-1944
P01205;Lotz;Ernst;1887-1948
P01206;Lotze;Hermann;
P01207;Loveland;Gilbert;
P01208;Löwe;Beatrice;
P01209;Löwe;Adolf;1893-1995
P01210;Löwe;Beatrice;*1893
P01211;Löwenfeld;Claire;1899-1974
P01212;Löwenfeld;Günther;1895-1984
P01213;Löwenthal;Leo;1900-1993
P01214;Löwith;Karl ;1897-1973
P01215;Lowrie;Walter;
P01216;Lubac;Henri de;
P01217;Lucillus;;
P01218;Ludwig IV. der Bayer;;
P01219;Ludwig XIV.;;
P01220;Ludwig, Emil;;
P01221;Lukács;Georg;
P01222;Lukas;;
P01223;Lukian;;
P01224;Lukrez;;
P01225;Lullus;Raimundus;
P01226;Lute;Edward T.;
P01227;Lütgert;Wilhelm;1867-1938
P01228;Luther;Martin;
P01229;Lüttichau;Wilhelm Victor von;1889-1946
P01230;Lüttichau;Margarita;1894-1971
P01231;Luxemburg;Rosa;
P01232;Mac Arthur;Douglas;
P01233;Macbeth;;
P01234;Machiavelli;Niccolò di;
P01235;Machui;Marianne von;1912-2001
P01236;Machui ;Artur von;1904-1971
P01237;Mackintosh;James;
P01238;Mackintosh;Hugh Ross;1870-1936
P01239;MacLeish;Archibald;1892-1982
P01240;Maimon;Salomon;
P01241;Maimonides;;
P01242;Major;Georg;
P01243;Malebranche;Nicolas;
P01244;Malthus;Thomas Robert;
P01245;Manasse-Morris;Rudolf;1894
P01246;Mandel;Hermann;
P01247;Mandelbaum;Kurt ;1904-1995
P01248;Mandelkow;Karl-Robert;
P01249;Mandeville;Bernard de;
P01250;Manegold von Lautenbach;;
P01251;Manheim;Ernest;1900-2002
P01252;Mani;;
P01253;Mann;Thomas;1875-1955
P01254;Mann;Heinrich;
P01255;Mannheim;Karl;1893-1947
P01256;Mannheim;Julia;1893–1955
P01257;Marahrens;August;1875-1950
P01258;Marc;Franz;
P01259;Marc Aurel;;
P01260;Marcel;Gabriel;
P01261;Marcellus;;
P01262;Marck;Siegfried;1889-1957
P01263;Marcuse;Herbert;1898-1979
P01264;Marcuse;Ingeborg;
P01265;Marcuse;Ludwig;
P01266;Marheineke;Philipp Konrad;
P01267;Maria;;
P01268;Maria Magdalena;;
P01269;Markion;;
P01270;Markus;;
P01271;Marquand;John P.;
P01272;Marsilio Ficino;;
P01273;Marsilius von Padua;;
P01274;Martensen;Hans Lassen;
P01275;Marx;Karl;
P01276;Matisse;Henri;
P01277;Matthäus;;
P01278;Matthäus von Acquasparta;;
P01279;Maupertuis;Pierre Moreau de;
P01280;Maurenbrecher;Max;
P01281;Maury;Pierre;1890-1956
P01282;Mausbach;Joseph;
P01283;Maximus Confessor;;
P01284;Maxwell;William;
P01285;May;Rollo;
P01286;Mayer;Emil Walter;
P01287;Mayer;Jacob-Peter ;1903-1992
P01288;Mazdaznan;;
P01289;McBride;Katharine;
P01290;Mead;Margaret;
P01291;Medicus;Fritz;1876-1956
P01292;Meil;Hans;
P01293;Meinecke;Friedrich;
P01294;Meiner;Felix;
P01295;Meinhof;Heinrich;1888-1978
P01296;Meinhold;Peter;1907-1981
P01297;Meinong;Alexius von;
P01298;Meiser;Hans;
P01299;Meister Eckhart;;
P01300;Meitmann;Karl;
P01301;Melanchthon;Philipp;
P01302;Mellinger;Frederic;1890-1970
P01303;Mendelssohn;Moses;
P01304;Mendelssohn;Georg;1886-1955
P01305;Meng;Heinrich Otto ;1887-1972
P01306;Menn;Wilhelm Gustav;1888-1956
P01307;Mennicke;Carl August;1887-1958
P01308;Mennicke;Trude;1892-1973
P01309;Menninger;Karl;
P01310;Merrem;Lucie;
P01311;Merrem;Paul;
P01312;Mertens;Anna;
P01313;Mesmer;Franz Anton;
P01314;Messer;August;
P01315;Metrodoros von Lampsakos;;
P01316;Metternich;Clemens von;
P01317;Mettrie;Julien Offroy de la;
P01318;Metzger;Ludwig;
P01319;Metzger;Arnold;1892-1974
P01320;Meyer;Conrad Ferdinand;
P01321;Meyer;Eduard;
P01322;Meyer;Richard Moritz;
P01323;Meyer;Gerhard Emil Otto ;1903-1973
P01324;Micha;;
P01325;Michaelis;Johann David;
P01326;Michelangelo;Buonarroti;
P01327;Mierendorff;Carl;
P01328;Mill;John Stuart;
P01329;Miller;Arthur;
P01330;Minges;Parthenius;
P01331;Mirabeau;Honoré de;
P01332;Misch;Carl;1896-1965
P01333;Moberly;Walter;
P01334;Moberly;Sir Walter Hamilton ;1881-1974
P01335;Mohammed;;
P01336;Möhler;Johann Adam;
P01337;Moholy-Nagy;László;
P01338;Moholy-Nagy;Sibyl;1905-1971
P01339;Molière;;
P01340;Möller;Wilhelm;
P01341;Moltks;Graf Helmut James;
P01342;Mommsen;Wilhelm;
P01343;Monet;Claude;
P01344;Montaigne;Michel de;
P01345;Montanus;;
P01346;Montesquieu;Charles;
P01347;Morelly;Abbé;
P01348;Morgenstern;Christian;
P01349;Mörike;Eduard;
P01350;Morin;Alexander J.;
P01351;Morus;Thomas;
P01352;Moses;;
P01353;Mosheim;Johann Lorenz von;
P01354;Mott;John Raleigh;
P01355;Mozart;Wolfgang Amadeus;
P01356;Mückenberger;Erich;
P01357;Mulert;Hermann;1879-1950
P01358;Müller;Adolf;
P01359;Müller;Gotthold ;
P01360;Müller;Alfred Dedo;
P01361;Müller;Franz Walter;
P01362;Müller;Friedrich;
P01363;Müller;Johannes;
P01364;Müller;Julius;
P01365;Müller;Ludwig;
P01366;Müller;Max;
P01367;Müller-Gangloff;Erich;1907-1980
P01368;Munch;Edvard;
P01369;Münsterberg;Hugo;
P01370;Münzer;Thomas;
P01371;Murisier;Ernest;
P01372;Mussolini;Benito;
P01373;Muth;;
P01374;Napoleon Bonaparte;;
P01375;Nash;Arnold Samuel ;1906-1991
P01376;Natorp;Paul;
P01377;Naumann;Friedrich;
P01378;Nebukadnezar;;
P01379;Nehemia;;
P01380;Nelson;Leonard;
P01381;Nero;;
P01382;Nestorius;;
P01383;Neuenschwander;Ulrich;1922-1977
P01384;Newton;Isaac;
P01385;Nichols;Roger B.;
P01386;Nicolai;Friedrich;
P01387;Nicolaus von Amiens;;
P01388;Nicolaus von Autrecourt;;
P01389;Nicolin;Friedhelm;
P01390;Niebuhr;Reinhold;1892-1971
P01391;Niebuhr;Ursula M.;1907-1997
P01392;Niemöller;Martin;1992-1984
P01393;Niethammer;Immanuel;
P01394;Nietzsche;Friedrich;
P01395;Nikias;;
P01396;Nikodemus;;
P01397;Nikolaus von Oresme;;
P01398;Niphus;Augustinus;
P01399;Nizolius;Marius;
P01400;Noack;Hermann;
P01401;Noack;Ulrich;
P01402;Noah;;
P01403;Nohl;Herman;
P01404;Nolde;Emil;
P01405;Norden;Eduard;
P01406;Norman;Dorothy;
P01407;Novalis;;
P01408;Numenius von Apameia;;
P01409;Nygren;Anders;
P01410;Obadja;;
P01411;Odgers;Merle Middleton;
P01412;Ödipus;;
P01413;Oetinger;Friedrich Christoph;
P01414;Oetinger;Johann Christoph;
P01415;Ohlemacher;Jörg;
P01416;Olden;Rudolf;1885-1940
P01417;Oldenbarneveldt;Johan van;
P01418;Oldenberg;Hermann;
P01419;Oldenburg;Hildegard Dorothea;1914-2007
P01420;Oldham;Joseph Houldsworth;1874-1969
P01421;Opie;Catherine;1896-1980
P01422;Opie;Redvers;1900-1984
P01423;Oppenheim;Paul;1885-1977
P01424;Oppenheim;Gabrielle;1892-1997
P01425;Oppenheimer;Ludwig;
P01426;Oppenheimer;Franz;
P01427;Oprecht;Emil;1895-1952
P01428;Orelli;Conrad von;
P01429;Origenes;;
P01430;Ormuz;;
P01431;Orpheus;;
P01432;Orwell;George;
P01433;Osiander;Andreas;
P01434;Ostwald;Wilhelm;
P01435;Oswald;James;
P01436;Othlo von St. Emmeram;;
P01437;Otto;Walter F.;1874-1958
P01438;Otto;Rudolf;
P01440;Overbeck;Franz;
P01441;Ovid;;
P01442;Owen;Jane Bluffer;
P01443;Owen;Kenneth Dale;
P01444;Owen;Robert;
P01445;Oxé;Charlotte;
P01446;Oxenius;Hans Götz;
P01447;Pachali;Walther;
P01448;Paetel;Karl Otto;1906-1975
P01449;Page;Marjorie L.;
P01450;Pajon;Claude;
P01451;Palestrina;;
P01452;Palucca;Gret;
P01453;Panaitios;;
P01454;Papen;Franz von;
P01455;Paquet;Alfons;1881-1944
P01456;Paracelsus;;
P01457;Pareto;Vilfredo;
P01458;Parmenides;;
P01459;Pascal;Blaise;
P01460;Paschasius Radbertus;;
P01461;Passarge;Walter;1898-1958
P01462;Paterson;William P.;1860-1939
P01463;Patritius;Franciscus;
P01464;Pauck;Marion;
P01465;Pauck;Wilhelm;
P01466;Paul;Samuel H.;
P01467;Paul von Samosata;;
P01468;Paulsen;Friedrich;
P01469;Paulus;;
P01470;Paulus;Heinrich Eberhard Gottlob;
P01471;Peale;Norman Vincent;1898-1993
P01472;Pechel;Rudolf;
P01473;Pelletier;Lucien;
P01474;Perikles;;
P01475;Pestalozzi;Rudolf ;1882-1961
P01476;Peter;Ulrich;
P01477;Peter von Ailly;;
P01478;Peterson;Erik;
P01479;Petrus;;
P01480;Petrus Aureoli;;
P01481;Petrus Cantor;;
P01482;Petrus Comestor;;
P01483;Petrus Damiani;;
P01484;Petrus Lombardus;;
P01485;Petrus Pomponatius;;
P01486;Petrus von Poitiers;;
P01487;Pfaff;Christoph Matthäus;
P01488;Pfeiffer;Erich;
P01489;Pfeiffer;Hedwig;
P01490;Pfleiderer;Otto;
P01491;Pherekydes v. Syros;;
P01492;Philipp;Werner;1908-1996
P01493;Philipp;Julius Johann;1875-1962
P01494;Philolaos;;
P01495;Philon von Alexandria;;
P01496;Picasso;Pablo;
P01497;Pico della Mirandola;Giovanni;
P01498;Pieper;Elisabeth;1897-1948
P01499;Pincus;Lily;1998-1981
P01500;Pincus;Fritz;1893-1963
P01501;Pindar;;
P01502;Pinthus;Kurt;1886-1975
P01503;Piper;Otto;1891-1982
P01504;Piscator;Erwin;1893-1966
P01505;Pitcher;Alvin;1913-1996
P01506;Pius II.;;
P01507;Pius IX.;;
P01508;Placeus;Josua;
P01509;Plank;H.;
P01510;Platen;August von;
P01511;Platon;;
P01512;Plaut;Richard;1910-1998
P01513;Plaut;Elisabeth;1906-1987
P01514;Plotin;;
P01515;Plutarch;;
P01516;Plutarch von Athen;;
P01517;Poelchau;Harald;
P01518;Pöggeler;Otto;
P01519;Poimandres;;
P01520;Pol;Heinz;
P01521;Pollock;Carlota;1905-1983
P01522;Pollock;Friedrich;1894-1970
P01523;Polykleitos;;
P01524;Pontius Pilatus;;
P01525;Porphyrios;;
P01526;Porte;Blossom T.;
P01527;Porteous;Norman;1898-2003
P01528;Portig;Gustav;
P01529;Poseidonios;;
P01530;Praechter;Karl;
P01531;Praxeas;;
P01532;Priestley;Josef;
P01533;Prinzhorn;Hans;
P01534;Proklos;;
P01535;Protagoras;;
P01536;Proudhon;Pierre-Joseph;
P01537;Proust;Marcel;
P01538;Przywara;Erich;
P01539;Pseudo-Apuleius;;
P01540;Pseudo-Hrabanus;;
P01541;Pufendorf;Samuel;
P01542;Pulver;Max;1889-1952
P01543;Pusey;Nathan M.;1907-2001
P01544;Pyrron;;
P01545;Pythagoras;;
P01546;Quenstedt;Johann Andréas;
P01547;Quesnell;Paschasius;
P01548;Quintilian;;
P01549;Radbruch;Gustav;
P01550;Radulf von Longchamp;;
P01551;Raffael;;
P01552;Ragaz;Leonhard;
P01553;Ragué;Heinrich Samuel von;
P01554;Raimundus Lullus;;
P01555;Rammelmeyer;Alfred;1910-1995
P01556;Ramus;Petrus;
P01557;Randall;John;
P01558;Ranke;Leopold von;
P01559;Rapoport;Käthe Anna;1891-1985
P01560;Rassenberg;Alfred;
P01561;Rathenau;Walter;
P01562;Rathenau;Gerhart Wolfgang ;1911-1989
P01563;Rathmann;August;1895-1995
P01564;Ratramnus;;
P01565;Ratschow;Carl Heinz;1911-1999
P01566;Rau;Dr.;
P01567;Rauschenbusch;Walter;
P01568;Raven;Charles E.;1885-1964
P01569;Redcliffe-Maud;John;1906-1982
P01570;Redlich;Fritz;
P01571;Reichl;Otto;
P01572;Reichwein;Adolf;
P01573;Reid;Thomas;
P01574;Reil;Johann Christian;
P01575;Reimarus;Hermann Samuel;
P01576;Reiners;Joseph;
P01577;Reinhard;Franz Volkmar;
P01578;Reinhardt;Karl;1886-1958
P01579;Reinhardt ;Elly;
P01580;Reitzenstein;Richard;
P01581;Rembrandt van Rijn;;
P01582;Renan;Ernest;
P01583;Reni;Guido;
P01584;Renoir;Auguste;
P01585;Resch;Alfred;
P01586;Reston;James;
P01587;Reuchlin;Johannes;
P01588;Reuter;Hermann;
P01589;Reutern von;Ilsemargot;1896-1977
P01590;Révész;Géza;1878-1955
P01591;Révész;Magdolna;1885-1972
P01592;Rhein;Christoph;
P01593;Rhein;Ernst;1885-1969
P01594;Rheindorf;Kurt;
P01595;Rhine;Maria;1896-1975
P01596;Ricardo;David;
P01597;Richard;Jean;
P01598;Richard III.;;
P01599;Richard von Middletown;;
P01600;Richard von St. Viktor;;
P01601;Richter;Julius;1862-1940
P01602;Richter;Liselotte;1906-1968
P01603;Richter;Werner;1887-1960
P01604;Richter;Ludwig;
P01605;Ricken;Heinrich;
P01606;Riehl;Aloys;
P01607;Riesman;David;1909-2002
P01608;Riesman;Evelyn Hastings;
P01609;Riesman;David;
;;;
P01611;Riezler;Kurt;1882-1955
P01612;Rilke;Rainer Maria;
P01613;Rimbaud;Arthur;
P01614;Rist;Johann;
P01615;Ritschl;Albrecht;
P01616;Ritschl;Otto;
P01617;Rittelmeyer;Friedrich;
P01618;Ritter;Karl Bernhard;
P01619;Rivera;Diego;
P01620;Rivera;José Eustasio;
P01621;Rivers;William Halse Rivers;
P01622;Robert;Ulrich;1888-1952
P01623;Robert Grosseteste;;
P01624;Robert von Melun;;
P01625;Roberts;David;
P01626;Robertson;D.B.;1915-1986
P01627;Robinet;Jean-Baptiste-René;
P01628;Robinson;John;
P01629;Rochol;Hans;
P01630;Rodbertus;Johann Karl;
P01631;Rode;Werner;
P01632;Roethe;Gustav;1859-1926
P01633;Roger von Marston;;
P01634;Rohde;Erwin;
P01635;Röhr;Johann Friedrich;
P01636;Röhricht;Eberhard;
P01637;Röhricht;Rainer;
P01638;Romoser;Nancy C.;
P01639;Romulus;;
P01640;Roosevelt;Eleanor;1884-1962
P01641;Roosevelt;Franklin D.;
P01642;Ropers;Margret;
P01643;Roscelin;;
P01644;Rosenberg;Alfred;
P01645;Rosenfeld;Kurt;1877-1943
P01646;Rosengrant;Harry W.;1892-1970
P01647;Rosenkranz;Karl;
P01648;Rosenstock- Huessy;Eugen;1888-1973
P01649;Rosenzweig;Franz;
P01650;Rothacker;Erich;
P01651;Rothe;Richard;
P01652;Rotholz;Dr. ;
P01653;Rousseau;Jean-Jacques;
P01654;Rubens;Peter Paul;
P01655;Rubinstein;Nina;1908-1996
P01656;Rudolph;Ina;
P01657;Rueter;Ernest A.;
P01658;Rufus;Mutianus;
P01659;Rühle;Oskar;
P01660;Rumpf;Josefine;1901-1938
P01661;Ruprecht;Günther;1898-2001
P01662;Rusk;Dean;
P01663;Russell;Bertrand;
P01664;Rust;Bernhard;1883-1945
P01665;Rüstow;Alexander;
